"年（必須）","値","系列名（全行同じ名前）（必須）"
"1988","3519589","ポケベル加入数"
"1989","4246612","ポケベル加入数"
"1990","5082452","ポケベル加入数"
"1991","5911377","ポケベル加入数"
"1992","6688634","ポケベル加入数"
"1993","8063627","ポケベル加入数"
"1994","9353249","ポケベル加入数"
"1995","10610549","ポケベル加入数"
"1996","10074304","ポケベル加入数"
"1997","7115702","ポケベル加入数"
"1998","3765686","ポケベル加入数"
"1999","2071003","ポケベル加入数"
"2000","1439206","ポケベル加入数"
"2001","1136930","ポケベル加入数"
"2002","954986","ポケベル加入数"
"2003","804964","ポケベル加入数"
"2004","626274","ポケベル加入数"
"2005","502130","ポケベル加入数"
"2006","163227","ポケベル加入数"
"2007","160919","ポケベル加入数"
"2008","157702","ポケベル加入数"
"2009","152578","ポケベル加入数"
"2010","146193","ポケベル加入数"
"2011","150571","ポケベル加入数"
"2012","148542","ポケベル加入数"
